date,steps,grossCalories,calories,distanceInMeters,activeTimeInSeconds
"10/18/2020, 00:00:00 +1100",1.0,0.0,0.0,0.0,0.0
"10/18/2020, 00:15:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 00:30:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 00:45:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 01:00:00 +1100",1.0,0.0,0.0,0.0,0.0
"10/18/2020, 01:15:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 01:30:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 01:45:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 02:00:00 +1100",1.0,0.0,0.0,0.0,0.0
"10/18/2020, 02:15:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 02:30:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 02:45:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 03:00:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 03:15:00 +1100",1.0,0.0,0.0,0.0,0.0
"10/18/2020, 03:30:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 03:45:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 04:00:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 04:15:00 +1100",1.0,0.0,0.0,0.0,0.0
"10/18/2020, 04:30:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 04:45:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 05:00:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 05:15:00 +1100",1.0,0.0,0.0,0.0,0.0
"10/18/2020, 05:30:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 05:45:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 06:00:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 06:15:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 06:30:00 +1100",1.0,0.0,0.0,0.0,0.0
"10/18/2020, 06:45:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 07:00:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 07:15:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 07:30:00 +1100",7.0,0.1,0.1,0.0,0.0
"10/18/2020, 07:45:00 +1100",16.0,0.3,0.3,0.0,0.0
"10/18/2020, 08:00:00 +1100",2.0,0.0,0.0,0.0,0.0
"10/18/2020, 08:15:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 08:30:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 08:45:00 +1100",0.0,0.0,0.0,0.0,0.0
"10/18/2020, 09:00:00 +1100",1.0,0.0,0.0,0.0,0.0
"10/18/2020, 09:15:00 +1100",23.0,0.4,0.4,11.0,0.0
"10/18/2020, 09:30:00 +1100",11.0,0.1,0.1,3.0,0.0
"10/18/2020, 09:45:00 +1100",5.0,0.0,0.0,0.0,0.0
"10/18/2020, 10:00:00 +1100",6.0,0.0,0.0,0.0,0.0
"10/18/2020, 10:15:00 +1100",6.0,0.1,0.1,0.0,0.0
"10/18/2020, 10:30:00 +1100",7.0,0.1,0.1,0.0,0.0
"10/18/2020, 10:45:00 +1100",7.0,0.1,0.1,0.0,0.0
"10/18/2020, 11:00:00 +1100",6.0,0.1,0.1,0.0,0.0
"10/18/2020, 11:15:00 +1100",7.0,0.1,0.1,0.0,0.0
"10/18/2020, 11:30:00 +1100",7.0,0.1,0.1,0.0,0.0
"10/18/2020, 11:45:00 +1100",588.0,17.0,10.3,351.0,420.0
"10/18/2020, 12:00:00 +1100",657.0,15.5,11.7,399.0,240.0
"10/18/2020, 12:15:00 +1100",1053.0,33.7,20.2,638.0,840.0
"10/18/2020, 12:30:00 +1100",234.0,8.2,4.3,146.0,240.0
"10/18/2020, 12:45:00 +1100",4.0,0.0,0.0,0.0,0.0
"10/18/2020, 13:00:00 +1100",3.0,0.0,0.0,0.0,0.0
"10/18/2020, 13:15:00 +1100",4.0,0.0,0.0,0.0,0.0
"10/18/2020, 13:30:00 +1100",4.0,0.0,0.0,0.0,0.0
"10/18/2020, 13:45:00 +1100",3.0,0.0,0.0,0.0,0.0
"10/18/2020, 14:00:00 +1100",4.0,0.0,0.0,0.0,0.0
"10/18/2020, 14:15:00 +1100",4.0,0.0,0.0,0.0,0.0
